reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
892,18,5,佛說大悲空智金剛大教王儀軌經,Fó shuō dàbēi kōng zhì jīngāng dà jiāo wáng Yí Guǐ Jīng,Hevajratantra,法護,譯,Dharmarakṣa,Translated,宋,Song,960-1279,An anuttarayogatantra category of Tantric text depicting the central deity Hevajra as a naked siddha.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本, 東京帝國大學梵本三百三十五號 Source: Ming canon, Tokyo Imperial University Sanskrit text No. 335, Hevajra－tantra.",Ming canon,http://tripitaka.cbeta.org/T18n0892,2016-09-29
893A,18,3,蘇悉地羯羅經,Su Xi Di Jie Luo Jing,Susiddhikara Sutra,輸波迦羅,譯,Śubhakarasiṃha,Translated,唐,Tang,726,"A tantra that describes ritual practice to quickly gain accomplishments. The rites include reciting mantras, observing precepts, offering flowers, burnt offerings (homa), and worship of deities. The text is classified as a kriyā tantra or action tantra. There are three versions of this text in the Taisho, all based on Śubhakarasiṃha's translation to Chinese from the Sanskrit.","Sanskrit title and date 726 from Lancaster (2004, 'K 432')",Korean Canon,http://tripitaka.cbeta.org/T18n0893a,2016-09-29
893B,18,3,蘇悉地羯羅經,Su Xi Di Jie Luo Jing,Susiddhikara Sutra,輸波迦羅,譯,Śubhakarasiṃha,Translated,唐,Tang,726,See T 893A,"Sanskrit title and date 726 from Lancaster (2004, 'K 432')",Korean Canon,http://tripitaka.cbeta.org/T18n0893b,2016-09-29
893C,18,3,蘇悉地羯羅經,Su Xi Di Jie Luo Jing,Susiddhikara Sutra,輸波迦羅,譯,Śubhakarasiṃha,Translated,唐,Tang,726,See T 893A,"Sanskrit title and date 726 from Lancaster (2004, 'K 432')",Korean Canon,http://tripitaka.cbeta.org/T18n0893c,2016-09-29
894A,18,3,蘇悉地羯羅供養法,Su Xi Di Jie Luo Gongyang Fa,Susiddhikarapūjāvidhi,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,717-735,More details on some of the rituals covered only briefly in T 893; contained within the group of 蘇悉地經類 Susuddhikara sūtra and related texts.,"Sanskrit title and date 717-735 from Lancaster (2004, 'K 431')",Korean Canon,http://tripitaka.cbeta.org/T18n0894a,2016-09-29
894B,18,2,蘇悉地羯羅供養法,Su Xi Di Jie Luo Gongyang Fa,Susiddhikarapūjāvidhi,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,717-735,See T 894a,"Sanskrit title and date 717-735 from Lancaster (2004, 'K 431')",Korean Canon,http://tripitaka.cbeta.org/T18n0894b,2016-09-29
895A,18,3,蘇婆呼童子請問經,Supohu Tongzi Qingwen Jing,Subāhuparipṛcchā,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,726,Vajrapāṇi explains tantric practices to the boy Subāhu.,"Sanskrit title and date 726 from Lancaster (2004, 'K 428')",Korean Canon,http://tripitaka.cbeta.org/T18n0895a,2016-09-29
895B,18,2,蘇婆呼童子請問經,Supohu Tongzi Qingwen Jing,Subāhuparipṛcchā,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,726,See 895a,"Sanskrit title and date 726 from Lancaster (2004, 'K 428')",Korean Canon,http://tripitaka.cbeta.org/T18n0895b,2016-09-29
896,18,4,妙臂菩薩所問經,Miao Bi Pusa Suo Wen Jing,Subāhuparipṛcchā,法天,譯,Fa Tian,Translated,宋,Song,973-988,A later and longer translation of 蘇婆呼童子請問經 (T 895a),"Sanskrit title and date 973-988 from Lancaster (2004, 'K 1152')",Korean Canon,http://tripitaka.cbeta.org/T18n0896,2016-09-29
897,18,3,蕤呬耶經,Ri Xi Ye Jing,Guhya Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,The tantra of secrets; included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本縮刷大藏經, ＜甲＞石山寺藏古寫本, ＜乙＞保延四年寫高山寺藏本, ＜丙＞黄蘗板淨嚴等校訂加筆本, 《蕤呬･･･經》十二字＝《瞿醯壇跢羅二合經密法品巻上》十三字＜甲＞, 《瞿醯壇跢羅二合經序品第一巻上亦名蕤呬耶經》二十字＜乙＞, 蘗本作瞿醯壇跢羅經巻上亦名蕤呬耶經 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. Ishiyama-dera repository ancient manuscript, 2. the Takayama temple version was transcribed in the 4th year of the Hōen era [1135-1141], 3. Jōgon and others added revision notes to the Ōbaku version, [details of some changes] ...  ",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0897,2016-09-29
898,18,1,佛說毘奈耶經,Fo Shuo Pi Nai Ye Jing,Vinaya Sutra,,,,,,,,This text is included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮刷大藏經 Source: Shukusatsu daizōkyō [Reduced Print Canon].,Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0898,2016-09-29
899,18,1,清淨法身毘盧遮那心地法門成就一切陀羅尼三種悉地,Qing Jing Fashen Piluzhena Xin Di Famen Chengjiu Yiqie Tuoluoni San Zhong Xi Di,Pure Dharma Vairocana Mind Teaching Dharanis for Three Types of Siddhi,,,,,,,,Describes teachings for magical attainments; included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞大日本續藏經, ＜甲＞文永二年寫高野山寶壽院本 Source: Dai Nippon Zokuzōkyō [Supplementary Buddhist Canon], 1. Hojuin Temple version was transcribed in the second year of the Bun'ei era [1264-1275].",Dai Nippon Zokuzōkyō,http://tripitaka.cbeta.org/T18n0899,2016-09-29
900,18,1,十八契印,Shiba Qiyin,Eighteen Mudras,惠果,造,Hui Guo,Composed,唐,Tang,618-907,This text is included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞豐山版, ＜甲＞高山寺藏古寫本 Source: Buzan edition; 1. Takayama Temple repository old manuscript.",Buzan,http://tripitaka.cbeta.org/T18n0900,2016-09-29
901,18,12,陀羅尼集經,Tuoluoni Ji Jing,Dhāraṇīsamuccaya,阿地瞿多,譯,Atikuta,Translated,唐,Tang,654,"Provdes the text of mantras, describes carving a wooden sculpture of Avalokiteśvara, and a mandala initiation ritual. Closely related in content to T 1069, T 1070, and T 1071.","Sanskrit title and date 654 from Lancaster (2004, 'K 308')",Korean Canon,http://tripitaka.cbeta.org/T18n0901,2016-09-29
902,18,1,總釋陀羅尼義讚,Zong Shi Tuoluoni Yi Zan,The Overall Meaning of the Dharanis,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,This text is included within the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞豊山版大正大學藏本, ＜甲＞平安時代寫高山寺藏本 Source: Buzan version from Taisho University repository; 1. Takayama temple repository version was transcribed in the Heian Period.",Buzan,http://tripitaka.cbeta.org/T18n0902,2016-09-29
903,18,1,都部陀羅尼目,Dou Bu Tuoluoni Mu,List of Dharanis,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Ritual chanting for protection of the body against demons; the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"Date 746-774 from Lancaster (2004, 'K 1336')",Korean Canon,http://tripitaka.cbeta.org/T18n0903,2016-09-29
904,18,1,念誦結護法普通諸部,Niansong Jie Hufa Putong Zhu Bu,Chanting Ritual for Protection of the Body,金剛智,述,Vajrabodhi,Narrated,唐,Tang,618-907,Ritual chanting for protection of the body against demons; the 金剛頂經類 Vajraśekhara sūtra group of related texts.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本, ＜甲＞建長八年寫東寺三密藏本 Source: Hase-dera repository published in the first year of the Kyōwa era [1801]; 1. transcribed for the Tō-ji Sanmitsu repository in the eigth year of the Kenchō era [1249-1256].",Hase-dera,http://tripitaka.cbeta.org/T18n0904,2016-09-29
905,18,1,三種悉地破地獄轉業障出三界祕密陀羅尼法,San Zhong Xi Di Po Diyu Zhuan Yezhang Chu San Jie Mimi Tuoluoni Fa,"Secret Dharanis for Three Kinds of Siddhi able to Liberate from Hell, Transform Karmic Obstacles, and Transcend the Three Realms",善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,Related to T 899.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞豊山版 Source: Buzan edition.,Buzan,http://tripitaka.cbeta.org/T18n0905,2016-09-29
906,18,1,佛頂尊勝心破地獄轉業障出三界祕密三身佛果三種悉地真言儀軌,Fo Ding Zun Sheng Xin Po Diyu Zhuan Yezhang Chu San Jie Mimi San Shen Foguo San Zhong Xi Di Zhenyan Yi Gui ,"Buddha Crown Worthy Supreme Heart able to Liberate from Hell, Transform Karmic Obstacles, and Transcend the Three Realms Secret Three Body Mantras for Three Types of Siddhi Ritual Manual",善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,Related to T 899.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞享和元年刊長谷寺藏本 Source: Hase-dera canon, published in the first year of the Kyōwa era [1801].",Hase-dera,http://tripitaka.cbeta.org/T18n0906,2016-09-29
907,18,1,佛頂尊勝心破地獄轉業障出三界祕密陀羅尼,Fo Ding Zun Sheng Xin Po Diyu Zhuan Yezhang Chu San Jie Mimi Tuoluoni,"Buddha Crown Worthy Supreme Heart able to Liberate from Hell, Transform Karmic Obstacles, and Transcend the Three Realms Secret Dharani",善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,Related to T 899.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera canon, published in the first year of the Kyōwa era [1801].",Hase-dera,http://tripitaka.cbeta.org/T18n0907,2016-09-29
908,18,1,金剛頂瑜伽護摩儀軌,Jingang Ding Yujia Humo Yi Gui,Homa Ritual Procedures of the Vajra Pinnacle Yoga,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Identifyies and describes the different homa (fire ritual) practices.,"Date 720-774 from Lancaster (2004, 'K 1335')",Korean Canon,http://tripitaka.cbeta.org/T18n0908,2016-09-30
909,18,1,金剛頂瑜伽護摩儀軌,Jingang Ding Yujia Humo Yi Gui,Homa Ritual Procedures of the Vajra Pinnacle Yoga,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Similar to T 908.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞享和元年刊長谷寺藏本, ＜甲＞寛治三年寫高山寺藏本 Source: Hase-dera repository published in the first year of the Kyōwa era [1801]; 1. transcripiton in Takayama Temple repository dated third year of the Kanji era [1087-1094].",Hase-dera,http://tripitaka.cbeta.org/T18n0909,2016-09-30
910,18,1,梵天擇地法,Fantian Zhai Di Fa,Brahma Selects a Location for a Ritual,,,,,,,,Brahma surveys the land and explains the favorable and unfavorable aspects of various sites for rituals.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮刷大藏經, ＜甲＞黄蘗版淨嚴等校訂加筆本塚本賢曉氏藏 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. Jōgon and others added collation and bibliographical notes for an Ōbaku version manauscript from Tsukamoto courtesy of the Akatsuki family collection.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0910,2016-09-30
911,18,1,建立曼荼羅及揀擇地法,Jianli Mantuluo Ji Jian Zhai Di Fa,Creating a Mandala and Selecting a Site for a Ritual,慧琳,集,Hui Lin,Compiled,唐,Tang,618-907,A collection of instructions on ritual procedures.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮刷大藏經, ＜甲＞黄檗版淨嚴等校訂加筆本塚本賢曉氏藏 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. Jōgon and others added collation and bibliographical notes for an Ōbaku version manauscript from Tsukamoto courtesy of the Akatsuki family collection.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0911,2016-09-30
912,18,1,建立曼荼羅護摩儀軌,Jianli Mantuluo Humo Yi Gui,Creating a Mandala for a Homa Ritual,法全,集,Fa Quan,Compiled,唐,Tang,618-907,One of a group of texts (908-914) relating to homa (fire) rituals and related procedures.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞豊山版大正大學藏本, ＜甲＞建久九年寫高山寺藏本, ＜乙＞長治二年寫東寺三密藏藏本 Source: Buzan edition, Taisho University repository; 1. transcrtion in the Takayama temple repository dated 9th year of the Kenkyū era [1190-1199], 2. Tō-ji sanmitsu canon manuscript version dated second year of the Chōji era [1104-1106].",Buzan,http://tripitaka.cbeta.org/T18n0912,2016-09-30
913,18,1,火𤙖供養儀軌,Huo Xin Gongyang Yi Gui,Fire Hūṃ Ritual,,,Unknown,,,,,One of a group of texts (908-914) relating to homa (fire) rituals and related procedures.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞豊山版, ＜甲＞高山寺藏古寫本, ＜乙＞應保二年寫東寺三密藏本, （金剛頂護摩瑜伽供養火天）イ＋火＜乙＞ Source: Buzan edition; 1. Takayama Temple repository ancient manuscript, 2. Tō-ji Sanitsu canon manuscript dated second year of the Ōhō era [1161-1163] (Vajra Pinnacle Homa Yoga Offering to Agni).",Buzan,http://tripitaka.cbeta.org/T18n0913,2016-09-30
914,18,1,火吽軌別錄,Huo Hong Gui Bie Lu,Fire Hūṃ Ritual Summary,,,Unknown,,,,,Mostly in Siddham letters with some figures of the mandala; one of a group of texts (908-914) relating to homa (fire) rituals and related procedures.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞豊山版, ＜甲＞高山寺藏古寫本, ＜乙＞應保二年寫東寺三密藏本, 火吽軌別録＝火吽供養經法＜甲＞, 〔火吽軌別録〕－＜乙＞ Source: Buzan edition; 1. Takayama Temple repository ancient manuscript, 2. Tō-ji Sanitsu canon manuscript dated second year of the Ōhō era [1161-1163], ...This Taisho text includes pictures and Siddham letters that  are not displayed properly in the NTI Reader. ",Buzan,http://tripitaka.cbeta.org/T18n0914,2016-09-30
915,18,1,受菩提心戒儀,Shou Putixin Jie Yi,Bodhicitta Precept Ceremony,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"A ritual manual describing tantric initiation precepts, including paying homage to the Buddha, repentance, refuge in the Triple Gem, arousal of bodhicitta, and precept conferral.","Date 720-774 from Lancaster (Lancaster 2004, 'K 1331')",Korean Canon,http://tripitaka.cbeta.org/T18n0915,2016-09-30
916,18,1,受五戒八戒文,Shou Wu Jie Ba Jie Wen,Text for Taking the Five Precepts and Eight Precepts,,,,,,,,Ceremony for taking the Five Precepts and Eight Precepts and also repentance and transfer of merit.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮刷大藏經, ＜甲＞黄蘗版淨嚴等校訂加筆本塚本賢曉氏藏 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. Jōgon and others added collation and bibliographical notes for an Ōbaku version manauscript from Tsukamoto courtesy of the Akatsuki family repository.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0916,2016-09-30
917,18,1,無畏三藏禪要,Wuwei San Zang Chan Yao,Śubhakarasiṃha’s Essentials of Meditation,善無畏,譯,Śubhakarasiṃha,Spoken,唐,Tang,618-907,"Describes initiation with repentance, recitation of vows, chanting of dhāraṇī, and meditation for recieving bodhicitta vows.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞縮刷大藏經, ＜甲＞平安時代寫東寺三密藏本, ＜乙＞黄蘗版性寂等校訂加筆本塚本賢曉氏藏, ＜丙＞黄蘗版 Source: Shukusatsu daizōkyō [Reduced Print Canon]; 1. Tō-ji Sanmitsu Canon manuscript from the Heian Period, 2. Shōjaku and others added collation and bibliographical notes for an Ōbaku version manauscript from Tsukamoto courtesy of the Akatsuki family repository, 3. Ōbaku version.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T18n0917,2016-09-30
918,19,1,諸佛心陀羅尼經,Zhu Fo Xin Tuoluoni Jing,Buddha Hṛdaya Dhāraṇī,玄奘,譯,Xuanzang,Translated,唐,Tang,650,A short dhāraṇī.,"Sanskrit title and date 650 from Lancaster (2004, 'K 444')",Korean Canon,http://tripitaka.cbeta.org/T19n0918,2016-09-30
919,19,1,諸佛心印陀羅尼經,Zhu Fo Xin Yin Tuoluoni Jing,Scripture of the Mind Seal Dharanis of the Buddhas,法天,譯,Fa Tian,Translated,宋,Song,973-988,A later translation of the source text of T 919.,"Sanskrit title and date 973-988 from Lancaster (2004, 'K 1134')",Korean Canon,http://tripitaka.cbeta.org/T19n0919,2016-09-30
920,19,2,佛心經,Fo Xinjing,Buddha Mind Sutra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,618-907,"Describes the Dharani and mudra, also explaining their great power.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞享和元年刊長谷寺藏本 Source: Hase-dera canon version, published in the first year of the Kyōwa era [1801-1804].",Hase-dera,http://tripitaka.cbeta.org/T19n0920,2016-09-30
